check_time,a0_fan0_rpm,a0_fan1_rpm,a1_fan0_rpm,a1_fan1_rpm,a2_fan0_rpm,a2_fan1_rpm,a3_fan0_rpm,a3_fan1_rpm,a4_fan0_rpm,a4_fan1_rpm,a5_fan0_rpm,a5_fan1_rpm,b0_fan0_rpm,b1_fan0_rpm
2019-05-28 14:00:01,2365.0,2361.0,2341.0,2338.0,2346.0,2332.0,2362.0,2358.0,2369.0,2342.0,2367.0,2354.0,2372.0,2365.0
2019-05-28 14:05:01,2364.0,2361.0,2341.0,2338.0,2343.0,2334.0,2362.0,2361.0,2370.0,2342.0,2372.0,2357.0,2373.0,2367.0
2019-05-28 14:10:01,2366.0,2361.0,2341.0,2337.0,2344.0,2335.0,2362.0,2354.0,2368.0,2342.0,2371.0,2356.0,2373.0,2357.0
2019-05-28 14:15:01,2364.0,2362.0,2340.0,2337.0,2347.0,2335.0,2361.0,2354.0,2368.0,2343.0,2368.0,2354.0,2373.0,2354.0
2019-05-28 14:20:02,2368.0,2361.0,2341.0,2343.0,2347.0,2333.0,2361.0,2353.0,2368.0,2343.0,2370.0,2356.0,2372.0,2354.0
2019-05-28 14:25:01,2366.0,2361.0,2341.0,2337.0,2346.0,2337.0,2362.0,2357.0,2368.0,2344.0,2367.0,2354.0,2373.0,2353.0
2019-05-28 14:30:01,2364.0,2362.0,2341.0,2338.0,2344.0,2333.0,2362.0,2358.0,2369.0,2338.0,2371.0,2356.0,2374.0,2358.0
2019-05-28 14:35:02,2369.0,2361.0,2340.0,2337.0,2344.0,2338.0,2361.0,2359.0,2369.0,2341.0,2372.0,2354.0,2372.0,2360.0
2019-05-28 14:40:01,2366.0,2360.0,2340.0,2337.0,2343.0,2337.0,2362.0,2357.0,2369.0,2342.0,2368.0,2354.0,2372.0,2366.0
2019-05-28 14:45:01,2367.0,2360.0,2341.0,2339.0,2342.0,2333.0,2362.0,2356.0,2369.0,2342.0,2371.0,2354.0,2371.0,2361.0
2019-05-28 14:50:01,2366.0,2360.0,2341.0,2339.0,2343.0,2335.0,2362.0,2358.0,2369.0,2342.0,2369.0,2354.0,2373.0,2357.0
2019-05-28 14:55:01,2366.0,2361.0,2340.0,2336.0,2339.0,2337.0,2361.0,2357.0,2368.0,2343.0,2370.0,2354.0,2372.0,2357.0
2019-05-28 15:00:02,2365.0,2360.0,2341.0,2338.0,2346.0,2337.0,2362.0,2359.0,2367.0,2343.0,2372.0,2354.0,2373.0,2365.0
2019-05-28 15:05:01,2365.0,2361.0,2341.0,2338.0,2346.0,2334.0,2361.0,2358.0,2367.0,2343.0,2372.0,2354.0,2372.0,2356.0
2019-05-28 15:10:01,2366.0,2361.0,2342.0,2341.0,2344.0,2334.0,2363.0,2356.0,2367.0,2342.0,2369.0,2354.0,2373.0,2354.0
2019-05-28 15:15:01,2367.0,2361.0,2341.0,2337.0,2340.0,2334.0,2362.0,2357.0,2370.0,2344.0,2368.0,2356.0,2373.0,2368.0
2019-05-28 15:20:01,2365.0,2360.0,2340.0,2338.0,2344.0,2334.0,2361.0,2354.0,2368.0,2343.0,2370.0,2353.0,2373.0,2363.0
2019-05-28 15:25:01,2365.0,2361.0,2339.0,2340.0,2342.0,2336.0,2362.0,2359.0,2368.0,2343.0,2372.0,2356.0,2371.0,2363.0
2019-05-28 15:30:01,2365.0,2361.0,2341.0,2338.0,2345.0,2337.0,2362.0,2359.0,2368.0,2342.0,2371.0,2354.0,2373.0,2356.0
2019-05-28 15:35:01,2366.0,2361.0,2342.0,2337.0,2343.0,2335.0,2362.0,2357.0,2368.0,2343.0,2369.0,2354.0,2373.0,2361.0
2019-05-28 15:40:01,2365.0,2360.0,2340.0,2338.0,2347.0,2340.0,2362.0,2357.0,2368.0,2342.0,2370.0,2354.0,2373.0,2354.0
2019-05-28 15:45:01,2363.0,2360.0,2341.0,2336.0,2338.0,2336.0,2361.0,2361.0,2368.0,2342.0,2369.0,2356.0,2372.0,2357.0
2019-05-28 15:50:01,2364.0,2360.0,2340.0,2341.0,2343.0,2339.0,2361.0,2352.0,2368.0,2343.0,2369.0,2356.0,2371.0,2353.0
2019-05-28 15:55:01,2365.0,2360.0,2340.0,2337.0,2341.0,2333.0,2361.0,2361.0,2368.0,2342.0,2368.0,2356.0,2372.0,2357.0
2019-05-28 16:00:01,2368.0,2360.0,2340.0,2337.0,2343.0,2335.0,2362.0,2358.0,2367.0,2345.0,2370.0,2354.0,2372.0,2353.0
2019-05-28 16:05:01,2369.0,2359.0,2341.0,2339.0,2346.0,2333.0,2361.0,2360.0,2368.0,2342.0,2370.0,2356.0,2372.0,2361.0
2019-05-28 16:10:01,2371.0,2358.0,2340.0,2338.0,2344.0,2333.0,2361.0,2357.0,2367.0,2347.0,2370.0,2354.0,2371.0,2361.0
2019-05-28 16:15:02,2367.0,2359.0,2340.0,2337.0,2344.0,2340.0,2362.0,2354.0,2367.0,2342.0,2369.0,2353.0,2372.0,2363.0
2019-05-28 16:20:01,2370.0,2361.0,2342.0,2338.0,2342.0,2340.0,2362.0,2361.0,2369.0,2343.0,2371.0,2354.0,2372.0,2352.0
2019-05-28 16:25:02,2367.0,2361.0,2340.0,2341.0,2341.0,2338.0,2363.0,2354.0,2369.0,2345.0,2369.0,2356.0,2374.0,2360.0
2019-05-28 16:30:01,2366.0,2362.0,2341.0,2337.0,2340.0,2339.0,2362.0,2360.0,2369.0,2343.0,2372.0,2356.0,2373.0,2356.0
2019-05-28 16:35:01,2366.0,2360.0,2341.0,2337.0,2342.0,2341.0,2361.0,2353.0,2368.0,2337.0,2368.0,2354.0,2371.0,2361.0
2019-05-28 16:40:01,2365.0,2361.0,2341.0,2338.0,2345.0,2337.0,2362.0,2354.0,2368.0,2345.0,2369.0,2354.0,2373.0,2356.0
2019-05-28 16:45:01,2368.0,2361.0,2340.0,2337.0,2347.0,2337.0,2361.0,2354.0,2368.0,2343.0,2367.0,2354.0,2373.0,2363.0
2019-05-28 16:50:01,2366.0,2361.0,2341.0,2338.0,2346.0,2334.0,2362.0,2359.0,2369.0,2343.0,2372.0,2354.0,2372.0,2353.0
2019-05-28 16:55:01,2366.0,2361.0,2341.0,2341.0,2344.0,2336.0,2362.0,2358.0,2369.0,2343.0,2367.0,2354.0,2372.0,2364.0
2019-05-28 17:00:01,2367.0,2361.0,2341.0,2337.0,2342.0,2333.0,2362.0,2356.0,2368.0,2343.0,2371.0,2354.0,2371.0,2367.0
2019-05-28 17:05:01,2368.0,2362.0,2341.0,2337.0,2346.0,2340.0,2361.0,2358.0,2368.0,2340.0,2368.0,2353.0,2372.0,2365.0
2019-05-28 17:10:01,2364.0,2360.0,2341.0,2338.0,2346.0,2333.0,2362.0,2358.0,2368.0,2345.0,2371.0,2354.0,2372.0,2354.0
2019-05-28 17:15:01,2368.0,2361.0,2340.0,2336.0,2341.0,2333.0,2361.0,2353.0,2368.0,2342.0,2371.0,2356.0,2373.0,2356.0
2019-05-28 17:20:01,2367.0,2362.0,2342.0,2337.0,2343.0,2334.0,2363.0,2357.0,2369.0,2343.0,2369.0,2354.0,2372.0,2356.0
2019-05-28 17:25:01,2367.0,2360.0,2341.0,2337.0,2342.0,2336.0,2362.0,2356.0,2369.0,2340.0,2369.0,2354.0,2373.0,2352.0
2019-05-28 17:30:01,2366.0,2361.0,2341.0,2337.0,2342.0,2334.0,2362.0,2353.0,2368.0,2343.0,2368.0,2354.0,2372.0,2365.0
2019-05-28 17:35:01,2364.0,2361.0,2341.0,2338.0,2345.0,2336.0,2360.0,2356.0,2368.0,2345.0,2373.0,2356.0,2371.0,2361.0
2019-05-28 17:40:01,2367.0,2360.0,2340.0,2341.0,2343.0,2341.0,2362.0,2356.0,2369.0,2344.0,2372.0,2354.0,2372.0,2357.0
2019-05-28 17:45:01,2367.0,2361.0,2340.0,2340.0,2345.0,2337.0,2362.0,2354.0,2368.0,2346.0,2369.0,2354.0,2372.0,2367.0
2019-05-28 17:50:01,2369.0,2361.0,2341.0,2337.0,2345.0,2340.0,2362.0,2357.0,2369.0,2342.0,2373.0,2356.0,2373.0,2368.0
2019-05-28 17:55:01,2367.0,2361.0,2341.0,2342.0,2347.0,2340.0,2363.0,2356.0,2369.0,2344.0,2373.0,2356.0,2373.0,2357.0
2019-05-28 18:00:01,2365.0,2362.0,2341.0,2337.0,2343.0,2338.0,2362.0,2358.0,2369.0,2348.0,2366.0,2356.0,2372.0,2370.0
