check_time,a0_fan0_rpm,a0_fan1_rpm,a1_fan0_rpm,a1_fan1_rpm,a2_fan0_rpm,a2_fan1_rpm,a3_fan0_rpm,a3_fan1_rpm,a4_fan0_rpm,a4_fan1_rpm,a5_fan0_rpm,a5_fan1_rpm,b0_fan0_rpm,b1_fan0_rpm
2019-05-28 14:00:01,2373.0,2373.0,2420.0,2424.0,2367.0,2354.0,2313.0,2322.0,2372.0,2372.0,2382.0,2374.0,2373.0,2311.0
2019-05-28 14:05:01,2376.0,2374.0,2418.0,2426.0,2367.0,2356.0,2313.0,2321.0,2372.0,2372.0,2368.0,2376.0,2373.0,2318.0
2019-05-28 14:10:01,2388.0,2373.0,2416.0,2422.0,2366.0,2354.0,2315.0,2318.0,2369.0,2370.0,2370.0,2375.0,2373.0,2317.0
2019-05-28 14:15:01,2380.0,2371.0,2413.0,2421.0,2364.0,2354.0,2315.0,2318.0,2369.0,2368.0,2380.0,2375.0,2372.0,2317.0
2019-05-28 14:20:02,2377.0,2376.0,2418.0,2422.0,2365.0,2354.0,2315.0,2319.0,2369.0,2369.0,2372.0,2376.0,2373.0,2313.0
2019-05-28 14:25:01,2380.0,2375.0,2415.0,2423.0,2366.0,2357.0,2315.0,2318.0,2369.0,2370.0,2375.0,2378.0,2372.0,2312.0
2019-05-28 14:30:01,2377.0,2374.0,2416.0,2422.0,2366.0,2356.0,2315.0,2319.0,2369.0,2370.0,2384.0,2375.0,2374.0,2308.0
2019-05-28 14:35:02,2382.0,2373.0,2416.0,2423.0,2367.0,2354.0,2316.0,2319.0,2369.0,2369.0,2365.0,2377.0,2373.0,2324.0
2019-05-28 14:40:01,2374.0,2374.0,2423.0,2425.0,2365.0,2349.0,2310.0,2319.0,2369.0,2369.0,2378.0,2377.0,2374.0,2321.0
2019-05-28 14:45:01,2378.0,2373.0,2416.0,2424.0,2366.0,2356.0,2317.0,2320.0,2370.0,2371.0,2370.0,2371.0,2373.0,2316.0
2019-05-28 14:50:01,2375.0,2375.0,2412.0,2424.0,2365.0,2358.0,2316.0,2319.0,2369.0,2369.0,2380.0,2373.0,2373.0,2318.0
2019-05-28 14:55:02,2375.0,2372.0,2419.0,2423.0,2368.0,2353.0,2312.0,2320.0,2372.0,2372.0,2379.0,2372.0,2373.0,2311.0
2019-05-28 15:00:02,2375.0,2369.0,2411.0,2422.0,2368.0,2360.0,2312.0,2322.0,2372.0,2372.0,2364.0,2374.0,2373.0,2316.0
